Name,Ticker,Weight
TRANE TECHNOLOGIES PLC,TT,0.140244
AIR PRODUCTS + CHEMICALS INC,APD,0.139866
NXP SEMICONDUCTORS NV,NXPI,0.139728
FREEPORT MCMORAN INC,FCX,0.139416
HCA HEALTHCARE INC,HCA,0.135079
LULULEMON ATHLETICA INC,LULU,0.133686
MOTOROLA SOLUTIONS INC,MSI,0.133239
AUTODESK INC,ADSK,0.132066
EMERSON ELECTRIC CO,EMR,0.131580
NORFOLK SOUTHERN CORP,NSC,0.131085
PACCAR INC,PCAR,0.128969
PIONEER NATURAL RESOURCES CO,PXD,0.127359
CINTAS CORP,CTAS,0.126512
3M CO,MMM,0.126062
ARTHUR J GALLAGHER + CO,AJG,0.125930
TRUIST FINANCIAL CORP,TFC,0.122170
CAPITAL ONE FINANCIAL CORP,COF,0.122092
ECOLAB INC,ECL,0.122013
HUMANA INC,HUM,0.121137
DEXCOM INC,DXCM,0.120381
MICROCHIP TECHNOLOGY INC,MCHP,0.119811
AMERICAN INTERNATIONAL GROUP,AIG,0.118721
AUTOZONE INC,AZO,0.118487
WELLTOWER INC,WELL,0.118135
TRAVELERS COS INC/THE,TRV,0.117830
HILTON WORLDWIDE HOLDINGS IN,HLT,0.117614
GENERAL MOTORS CO,GM,0.116198
ROSS STORES INC,ROST,0.114875
SIMON PROPERTY GROUP INC,SPG,0.112891
CARRIER GLOBAL CORP,CARR,0.112776
CROWN CASTLE INC,CCI,0.112061
PUBLIC STORAGE,PSA,0.111830
REALTY INCOME CORP,O,0.111680
AFLAC INC,AFL,0.110524
TE CONNECTIVITY LTD,TEL,0.109143
VALERO ENERGY CORP,VLO,0.108350
MSCI INC,MSCI,0.108225
SEMPRA,SRE,0.108061
EDWARDS LIFESCIENCES CORP,EW,0.107581
FORD MOTOR CO,F,0.106135
METLIFE INC,MET,0.105939
IDEXX LABORATORIES INC,IDXX,0.105784
NUCOR CORP,NUE,0.103779
COPART INC,CPRT,0.103601
BANK OF NEW YORK MELLON CORP,BK,0.103260
FORTINET INC,FTNT,0.103033
DR HORTON INC,DHI,0.102589
DIGITAL REALTY TRUST INC,DLR,0.102317
WILLIAMS COS INC,WMB,0.101316
ALLSTATE CORP,ALL,0.100885
MONSTER BEVERAGE CORP,MNST,0.099473
AMERICAN ELECTRIC POWER,AEP,0.099001
CENTENE CORP,CNC,0.098597
ONEOK INC,OKE,0.098226
CONSTELLATION BRANDS INC A,STZ,0.097805
KIMBERLY CLARK CORP,KMB,0.097537
NEWMONT CORP,NEM,0.097183
AMERIPRISE FINANCIAL INC,AMP,0.096369
FASTENAL CO,FAST,0.096263
PAYCHEX INC,PAYX,0.095871
UNITED RENTALS INC,URI,0.095599
IQVIA HOLDINGS INC,IQV,0.095538
HESS CORP,HES,0.094976
L3HARRIS TECHNOLOGIES INC,LHX,0.094632
COGNIZANT TECH SOLUTIONS A,CTSH,0.094342
WW GRAINGER INC,GWW,0.094088
AGILENT TECHNOLOGIES INC,A,0.092858
OCCIDENTAL PETROLEUM CORP,OXY,0.092531
PRUDENTIAL FINANCIAL INC,PRU,0.092499
SYSCO CORP,SYY,0.092454
AMETEK INC,AME,0.091797
JOHNSON CONTROLS INTERNATION,JCI,0.091717
CHARTER COMMUNICATIONS INC A,CHTR,0.091358
DOW INC,DOW,0.091052
GENERAL MILLS INC,GIS,0.090458
DOMINION ENERGY INC,D,0.090348
CONSTELLATION ENERGY,CEG,0.090328
YUM  BRANDS INC,YUM,0.088861
CENCORA INC,COR,0.088797
LENNAR CORP A,LEN,0.088760
FIDELITY NATIONAL INFO SERV,FIS,0.088541
GARTNER INC,IT,0.088252
OTIS WORLDWIDE CORP,OTIS,0.088078
BIOGEN INC,BIIB,0.087535
VERISK ANALYTICS INC,VRSK,0.086837
KENVUE INC,KVUE,0.086320
OLD DOMINION FREIGHT LINE,ODFL,0.085694
P G + E CORP,PCG,0.084749
REPUBLIC SERVICES INC,RSG,0.084681
ROCKWELL AUTOMATION INC,ROK,0.084311
COSTAR GROUP INC,CSGP,0.083529
EXELON CORP,EXC,0.083156
GLOBAL PAYMENTS INC,GPN,0.082815
