"Company","Current Parent Company","Parent at the Time of the Penalty Announcement","Recap of Ownership Changes","Penalty Amount","Subtraction From Penalty Amount to Avoid Double Counting","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Original System ID","Facility Name","Facility Address","Facility City","Facility State","Facility Zip","Facility County","NAICS Code","NAICS Translation","Current Parent HQ Country","Current Parent HQ State","Current Parent Ownership Structure","Current Parent Stock Ticker","Current Parent ISIN","Current Parent Major Industry","Current Parent Specific Industry","Info Source","PACER Link","Notes"
"Jerry Stokes Cattle","","","","$5,000","$0","$5,000","2020","20200128","competition-related offenses","agribusiness violation","","","federal","agency action","Agricultural Marketing Service","civil","","","","","","","","","Garrison","","","TX","","","","","","","","","","https://www.ams.usda.gov/press-release/usda-settles-packers-and-stockyards-case-against-jerry-stokes-dba-jerry-stokes-cattle","",""
"Sugarcreek Livestock Auction Inc.","","","","$15,000","$0","$15,000","2020","20200127","competition-related offenses","agribusiness violation","","","federal","agency action","Agricultural Marketing Service","civil","","","","","","","","","Sugarcreek","","","OH","","","","","","","","","","https://www.ams.usda.gov/press-release/usda-reaches-consent-decision-and-civil-penalty-sugarcreek-livestock-auction-inc-and","",""
"Ashville Stockyard Inc.","","","","$20,000","$0","$20,000","2020","20200127","competition-related offenses","agribusiness violation","","","federal","agency action","Agricultural Marketing Service","civil","","","","","","","","","Ashville","","","AL","","","","","","","","","","https://www.ams.usda.gov/press-release/usda-reaches-consent-decision-ashville-stockyard-inc-bradley-m-plunkett-and-tilda","",""
"Sisseton Livestock Inc.","","","","$10,000","$0","$10,000","2020","20200109","competition-related offenses","agribusiness violation","","","federal","agency action","Agricultural Marketing Service","civil","","","","","","","","","Sisseton","","","SD","","","","","","","","","","https://www.ams.usda.gov/press-release/usda-reaches-consent-decision-and-civil-penalty-sisseton-livestock-inc-ps-act","",""
"Cecil Sellers Cattle Company Ltd. and Sellers-CSCC Inc.","","","","$94,422","$0","$94,422","2020","20200108","competition-related offenses","agribusiness violation","","","federal","agency action","Agricultural Marketing Service","civil","","","","","","","","","Amarillo","","","TX","","","","","","","","","","https://www.ams.usda.gov/press-release/usda-reaches-consent-decision-and-civil-penalty-cecil-sellers-cattle-company-ltd","",""
"Hatch Auction Inc. dba Cow House","","","","$20,000","$0","$20,000","2020","20200107","competition-related offenses","agribusiness violation","","","federal","agency action","Agricultural Marketing Service","civil","","","","","","","","","Fruitland","","","NM","","","","","","","","","","https://www.ams.usda.gov/press-release/usda-reaches-consent-decision-and-civil-penalty-hatch-auction-inc-dba-cow-house-and","",""
"Larson Livestock, Inc.","","","","$50,000","$0","$50,000","2020","20200424","competition-related offenses","agribusiness violation","","","federal","agency action","Agricultural Marketing Service","civil","","","","","","","","","Columbia","South Dakota","","","","","","","","","","","","https://www.ams.usda.gov/press-release/usda-reaches-consent-decision-and-civil-penalty-larson-livestock-inc-and-carson","",""
"Euclid Stockyards Inc.","","","","$7,500","$0","$7,500","2020","20200402","competition-related offenses","agribusiness violation","","","federal","agency action","Agricultural Marketing Service","civil","","","","","","","","","Euclid","California","","","","","","","","","","","","https://www.ams.usda.gov/press-releases/usda-reaches-consent-decision-euclid-stockyards-inc-and-jeremy-t-gorham-packers-and","",""
"Riata Cattle Company Inc.","","","","$9,000","$0","$9,000","2020","20200306","competition-related offenses","agribusiness violation","","","federal","agency action","Agricultural Marketing Service","civil","","","","","","","","","Raymondville","Texas","","","","","","","","","","","","https://www.ams.usda.gov/press-release/usda-settles-packers-and-stockyards-case-against-riata-cattle-company-inc","",""
"The Hain Celestial Group Inc.","Hain Celestial Group","Hain Celestial Group","","$50,000","$0","$50,000","2020","20200303","competition-related offenses","agribusiness violation","","","federal","agency action","Agricultural Marketing Service","civil","","","","","","","","","","","","","","","USA","New York","publicly traded","HAIN","US4052171000","food products","food products","https://www.ams.usda.gov/press-release/usda-settles-packers-and-stockyards-case-against-hain-celestial-group-inc","",""
