"agency","penalties_dollars","penalties_number","year","total","enforcement"
"Food Safety and Inspection Service",3175621,19,2006,9789,7199
"Food Safety and Inspection Service",3175621,19,2007,9873,7339
"Food Safety and Inspection Service",3175621,19,2008,10023,7485
"Food Safety and Inspection Service",3175621,19,2009,9976,7401
"Food Safety and Inspection Service",3175621,19,2010,10006,7403
"Food Safety and Inspection Service",3175621,19,2011,9959,7376
"Food Safety and Inspection Service",3175621,19,2012,9898,7402
"Food Safety and Inspection Service",3175621,19,2013,9570,7131
"Food Safety and Inspection Service",3175621,19,2014,9386,6982
"Food Safety and Inspection Service",3175621,19,2015,9599,7158
"Food Safety and Inspection Service",3175621,19,2016,9633,7210
"Food Safety and Inspection Service",3175621,19,2017,9584,7193
"Food Safety and Inspection Service",3175621,19,2018,9020,6755
"Food Safety and Inspection Service",3175621,19,2019,8955,6709
"Food Safety and Inspection Service",3175621,19,2020,8781,6560
"Food Safety and Inspection Service",3175621,19,2021,8802,6589
"Federal Election Commission",2611778,37,2000,348,4
"Federal Election Commission",2611778,37,2001,357,4
"Federal Election Commission",2611778,37,2002,374,3
"Federal Election Commission",2611778,37,2003,369,2
"Federal Election Commission",2611778,37,2004,378,3
"Federal Election Commission",2611778,37,2005,385,4
"Federal Election Commission",2611778,37,2006,361,4
"Federal Election Commission",2611778,37,2007,349,4
"Federal Election Commission",2611778,37,2008,367,4
"Federal Election Commission",2611778,37,2009,368,4
"Federal Election Commission",2611778,37,2010,349,4
"Federal Election Commission",2611778,37,2011,349,4
"Federal Election Commission",2611778,37,2012,354,4
"Federal Election Commission",2611778,37,2013,338,4
"Federal Election Commission",2611778,37,2014,329,3
"Federal Election Commission",2611778,37,2015,331,3
"Federal Election Commission",2611778,37,2016,328,2
"Federal Election Commission",2611778,37,2017,322,1
"Federal Election Commission",2611778,37,2018,304,1
"Federal Election Commission",2611778,37,2019,305,1
"Federal Election Commission",2611778,37,2020,310,1
"Federal Election Commission",2611778,37,2021,304,2
"Agricultural Marketing Service",2426278,65,2000,6019,2323
"Agricultural Marketing Service",2426278,65,2001,5971,3738
"Agricultural Marketing Service",2426278,65,2002,6011,3764
"Agricultural Marketing Service",2426278,65,2003,5878,3630
"Agricultural Marketing Service",2426278,65,2004,5505,3333
"Agricultural Marketing Service",2426278,65,2005,5197,3114
"Agricultural Marketing Service",2426278,65,2006,5374,3323
"Agricultural Marketing Service",2426278,65,2007,4684,3098
"Agricultural Marketing Service",2426278,65,2008,4435,2882
"Agricultural Marketing Service",2426278,65,2009,4217,2737
"Agricultural Marketing Service",2426278,65,2010,4252,2774
"Agricultural Marketing Service",2426278,65,2011,4154,2704
"Agricultural Marketing Service",2426278,65,2012,4055,2651
"Agricultural Marketing Service",2426278,65,2013,4001,2663
"Agricultural Marketing Service",2426278,65,2014,3909,2575
"Agricultural Marketing Service",2426278,65,2015,3547,2243
"Agricultural Marketing Service",2426278,65,2016,3524,2205
"Agricultural Marketing Service",2426278,65,2017,3512,2225
"Agricultural Marketing Service",2426278,65,2018,4413,2827
"Agricultural Marketing Service",2426278,65,2019,4375,2868
"Agricultural Marketing Service",2426278,65,2020,4355,2822
"Agricultural Marketing Service",2426278,65,2021,4318,2752
"AG-DEPARTMENT OF AGRICULTURE",122000,2,2000,89509,1327
"AG-DEPARTMENT OF AGRICULTURE",122000,2,2001,93473,1392
"AG-DEPARTMENT OF AGRICULTURE",122000,2,2002,97440,1391
"AG-DEPARTMENT OF AGRICULTURE",122000,2,2003,96213,1396
"AG-DEPARTMENT OF AGRICULTURE",122000,2,2004,95624,1370
"AG-DEPARTMENT OF AGRICULTURE",122000,2,2005,93350,1342
"AG-DEPARTMENT OF AGRICULTURE",122000,2,2006,89622,1291
"AG-DEPARTMENT OF AGRICULTURE",122000,2,2007,88851,1351
"AG-DEPARTMENT OF AGRICULTURE",122000,2,2008,89598,1436
"AG-DEPARTMENT OF AGRICULTURE",122000,2,2009,91302,1414
"AG-DEPARTMENT OF AGRICULTURE",122000,2,2010,93232,1425
"AG-DEPARTMENT OF AGRICULTURE",122000,2,2011,90225,1421
"AG-DEPARTMENT OF AGRICULTURE",122000,2,2012,86589,1406
"AG-DEPARTMENT OF AGRICULTURE",122000,2,2013,82912,1362
"AG-DEPARTMENT OF AGRICULTURE",122000,2,2014,81895,1323
"AG-DEPARTMENT OF AGRICULTURE",122000,2,2015,82660,1293
"AG-DEPARTMENT OF AGRICULTURE",122000,2,2016,82656,1248
"AG-DEPARTMENT OF AGRICULTURE",122000,2,2017,79568,1219
"AG-DEPARTMENT OF AGRICULTURE",122000,2,2018,76949,1146
"AG-DEPARTMENT OF AGRICULTURE",122000,2,2019,76119,1104
"AG-DEPARTMENT OF AGRICULTURE",122000,2,2020,78638,1155
"AG-DEPARTMENT OF AGRICULTURE",122000,2,2021,78956,1115
"Office of Workers' Compensation Programs",75000,1,2011,1569,0
"Office of Workers' Compensation Programs",75000,1,2012,1641,0
"Office of Workers' Compensation Programs",75000,1,2013,1603,0
"Office of Workers' Compensation Programs",75000,1,2014,1555,0
"Office of Workers' Compensation Programs",75000,1,2015,1537,0
"Office of Workers' Compensation Programs",75000,1,2016,1539,0
"Office of Workers' Compensation Programs",75000,1,2017,1454,0
"Office of Workers' Compensation Programs",75000,1,2018,1438,3
"Office of Workers' Compensation Programs",75000,1,2019,1391,2
"Office of Workers' Compensation Programs",75000,1,2020,1340,2
"Office of Workers' Compensation Programs",75000,1,2021,1412,2
